,predicted
0,17
1,1
2,14
3,10
4,11
5,13
6,18
7,12
8,19
9,13
10,12
11,8
12,9
13,12
14,1
15,18
16,17
17,10
18,0
19,12
20,10
21,19
22,13
23,12
24,1
25,9
26,19
27,1
28,12
29,11
30,13
31,13
32,12
33,10
34,2
35,10
36,1
37,2
38,12
39,13
40,0
41,13
42,14
43,17
44,1
45,0
46,9
47,13
48,1
49,13
50,18
51,1
52,13
53,13
54,13
55,9
56,12
57,19
58,0
59,9
60,0
61,10
62,10
63,18
64,1
65,8
66,16
67,17
68,13
69,11
70,11
71,8
72,1
73,16
74,8
75,19
76,13
77,13
78,1
79,8
80,12
81,15
82,10
83,17
84,0
85,13
86,12
87,0
88,1
89,0
90,9
91,7
92,1
93,1
94,17
95,12
96,14
97,1
98,1
99,11
100,13
101,10
102,1
103,17
104,1
105,0
106,13
107,12
108,8
109,11
110,5
111,12
112,5
113,7
114,2
115,1
116,2
117,10
118,13
119,13
120,1
121,0
122,2
123,2
124,13
125,8
126,12
127,18
128,13
129,1
130,1
131,17
132,17
133,9
134,1
135,19
136,9
137,8
138,10
139,2
140,0
141,10
142,6
143,13
144,1
145,8
146,1
147,10
148,0
149,9
150,10
151,17
152,0
153,13
154,19
155,1
156,10
157,8
158,0
159,10
160,2
161,19
162,13
163,18
164,1
165,10
166,0
167,9
168,0
169,1
170,2
171,13
172,1
173,11
174,0
175,2
176,11
177,18
178,9
179,2
180,12
181,12
182,1
183,13
184,17
185,2
186,1
187,12
188,0
189,10
190,9
191,12
192,1
193,12
194,0
195,13
196,0
197,18
198,8
199,6
200,9
201,13
202,12
203,0
204,0
205,1
206,0
207,9
208,12
209,17
210,19
211,0
212,12
213,6
214,19
215,13
216,10
217,19
218,0
219,13
220,19
221,17
222,13
223,1
224,13
225,8
226,2
227,0
228,0
229,10
230,9
231,13
232,1
233,0
234,17
235,0
236,13
237,9
238,1
239,10
240,12
241,16
242,12
243,13
244,0
245,9
246,9
247,10
248,12
249,2
250,10
251,14
252,8
253,13
254,13
255,12
256,9
257,2
258,14
259,0
260,13
261,10
262,2
263,0
264,10
265,10
266,13
267,9
268,10
269,13
270,2
271,13
272,19
273,8
274,13
275,13
276,5
277,0
278,19
279,17
280,12
281,2
282,9
283,11
284,2
285,12
286,12
287,1
288,6
289,1
290,10
291,1
292,19
293,12
294,13
295,2
296,18
297,2
298,14
299,13
300,13
301,0
302,0
303,10
304,13
305,0
306,0
307,0
308,9
309,10
310,0
311,6
312,0
313,13
314,12
315,12
316,0
317,8
318,18
319,17
320,1
321,2
322,13
323,10
324,11
325,1
326,17
327,1
328,2
329,0
330,7
331,11
332,2
333,1
334,13
335,1
336,10
337,10
338,19
339,13
340,10
341,19
342,0
343,11
344,0
345,13
346,6
347,0
348,13
349,1
350,11
351,0
352,13
353,7
354,17
355,1
356,8
357,0
358,0
359,17
360,0
361,2
362,17
363,3
364,11
365,14
366,10
367,9
368,10
369,10
370,0
371,13
372,12
373,19
374,0
